Date,Open,High,Low,Close,Adj Close,Volume
2021-08-26,224.070007,227.520004,222.481995,224.619995,224.619995,1125800
2021-08-27,225.490005,227.820007,225.490005,226.020004,226.020004,1338800
2021-08-30,226.279999,234.397995,225.945007,233.119995,233.119995,1059300
2021-08-31,233.509995,235.419998,232.250000,234.339996,234.339996,1216700
2021-09-01,236.500000,239.169998,235.009995,238.380005,238.380005,811000
2021-09-02,244.919998,255.850006,243.000000,254.029999,254.029999,3946000
2021-09-03,251.800003,255.904999,248.184998,249.039993,249.039993,1187900
2021-09-07,260.940002,263.589996,254.440002,254.720001,254.720001,1865200
2021-09-08,253.979996,254.190002,245.850006,249.679993,249.679993,1043100
2021-09-09,247.399994,250.979996,245.485992,246.009995,246.009995,926100
2021-09-10,247.009995,254.940002,245.419998,247.759995,247.759995,1515100
2021-09-13,245.979996,247.820007,236.660004,244.220001,244.220001,1215300
2021-09-14,244.509995,246.350006,242.550003,243.809998,243.809998,814900
2021-09-15,243.449997,244.199997,239.619995,242.869995,242.869995,766500
2021-09-16,240.350006,242.850006,239.259995,242.020004,242.020004,846100
2021-09-17,243.229996,248.389999,242.520004,248.100006,248.100006,1129800
2021-09-20,240.520004,240.912994,234.500000,237.759995,237.759995,1357500
2021-09-21,236.199997,238.789993,233.940002,234.509995,234.509995,884200
2021-09-22,234.789993,237.145004,234.205994,235.350006,235.350006,906600
2021-09-23,237.889999,238.306000,233.559998,234.860001,234.860001,942900
2021-09-24,231.809998,231.809998,225.494995,230.199997,230.199997,1102900
2021-09-27,228.839996,235.600006,227.059998,232.940002,232.940002,818800
2021-09-28,231.289993,232.009995,225.869995,227.339996,227.339996,1392300
2021-09-29,228.410004,229.270004,220.190002,220.320007,220.320007,1071100
2021-09-30,221.869995,226.339996,218.509995,225.339996,225.339996,1050200
2021-10-01,227.020004,230.000000,223.960007,229.330002,229.330002,898200
2021-10-04,229.990005,230.000000,218.660004,221.910004,221.910004,1145300
2021-10-05,221.960007,227.929993,221.630005,225.820007,225.820007,647900
2021-10-06,223.589996,232.899994,222.529999,232.020004,232.020004,1036800
2021-10-07,233.009995,238.410004,232.800003,234.899994,234.899994,661700
2021-10-08,235.500000,238.369995,232.339996,232.880005,232.880005,625100
2021-10-11,233.869995,236.580002,230.440002,231.889999,231.889999,647300
2021-10-12,232.809998,235.750000,231.500000,235.300003,235.300003,651400
2021-10-13,238.289993,244.259995,238.106003,243.830002,243.830002,1216100
2021-10-14,246.679993,248.119995,240.029999,247.369995,247.369995,858500
2021-10-15,248.919998,249.610001,243.419998,247.399994,247.399994,813300
2021-10-18,247.229996,250.559998,245.490005,248.820007,248.820007,763500
2021-10-19,250.250000,256.130005,247.449997,255.610001,255.610001,1056000
2021-10-20,258.290009,258.609985,249.660004,251.179993,251.179993,736700
2021-10-21,251.089996,263.040009,250.839996,255.000000,255.000000,1093500
2021-10-22,251.500000,254.369995,249.020004,252.960007,252.960007,988000
2021-10-25,252.059998,259.190002,250.580002,257.890015,257.890015,1009600
2021-10-26,260.339996,263.690002,251.570007,252.199997,252.199997,1672600
2021-10-27,269.910004,278.000000,260.529999,273.130005,273.130005,3958200
2021-10-28,273.619995,293.320007,273.140015,288.950012,288.950012,3414400
2021-10-29,285.140015,292.820007,283.320007,289.399994,289.399994,1604400
2021-11-01,295.399994,302.571014,294.519989,300.950012,300.950012,2386000
2021-11-02,300.000000,305.600006,296.588013,298.200012,298.200012,1315100
2021-11-03,297.799988,299.660004,291.029999,298.079987,298.079987,1223700
2021-11-04,295.100006,299.079987,291.785004,293.480011,293.480011,1137000
2021-11-05,293.299988,297.630005,285.000000,289.049988,289.049988,1261100
2021-11-08,287.000000,289.859985,283.105011,286.899994,286.899994,2077200
2021-11-09,282.239990,286.470001,276.105011,278.750000,278.750000,1586200
2021-11-10,277.140015,279.709991,266.369995,269.720001,269.720001,1367900
2021-11-11,275.100006,280.000000,273.750000,276.649994,276.649994,1262800
2021-11-12,282.239990,284.529999,277.750000,280.559998,280.559998,1853700
2021-11-15,281.809998,286.600006,278.329987,278.380005,278.380005,1055200
2021-11-16,278.980011,279.054993,270.000000,271.299988,271.299988,1586900
2021-11-17,271.549988,272.059998,265.869995,271.950012,271.950012,1103300
2021-11-18,268.559998,272.000000,262.329987,263.369995,263.369995,1049600
2021-11-19,263.269989,266.910004,258.070007,259.549988,259.549988,799500
2021-11-22,258.649994,264.135010,247.014999,250.339996,250.339996,1346300
2021-11-23,246.229996,251.130005,237.059998,243.029999,243.029999,2356700
2021-11-24,244.669998,251.585007,238.649994,249.490005,249.490005,1552300
2021-11-26,248.080002,253.050003,246.050003,250.889999,250.889999,836900
2021-11-29,250.850006,251.449997,245.229996,246.600006,246.600006,1347600
2021-11-30,245.539993,248.880005,235.895004,238.500000,238.500000,1874200
2021-12-01,238.149994,241.419998,224.320999,225.089996,225.089996,1627300
2021-12-02,225.000000,232.720001,224.875000,228.539993,228.539993,1603200
2021-12-03,230.000000,233.729996,221.149994,228.800003,228.800003,1831000
2021-12-06,228.949997,232.589996,225.210007,232.009995,232.009995,1186000
2021-12-07,239.960007,242.919998,237.220001,238.509995,238.509995,1089400
2021-12-08,240.000000,245.369995,235.470001,243.169998,243.169998,1137700
2021-12-09,241.610001,245.809998,232.050003,233.419998,233.419998,1059900
2021-12-10,237.100006,238.429993,230.070007,233.259995,233.259995,838400
2021-12-13,232.880005,234.449997,222.940002,225.619995,225.619995,1188000
2021-12-14,222.000000,227.279999,219.750000,222.679993,222.679993,2137100
2021-12-15,222.350006,227.020004,216.000000,225.399994,225.399994,1557700
2021-12-16,229.160004,232.660004,224.050003,226.550003,226.550003,1130000
2021-12-17,224.309998,237.449997,222.770004,235.279999,235.279999,1697700
2021-12-20,230.750000,236.490005,228.110001,228.160004,228.160004,1120600
2021-12-21,230.190002,238.839996,230.059998,238.110001,238.110001,716600
2021-12-22,238.029999,240.919998,234.009995,235.160004,235.160004,972700
2021-12-23,235.500000,238.059998,226.619995,236.630005,236.630005,813000
2021-12-27,236.710007,237.750000,230.229996,233.779999,233.779999,963900
2021-12-28,234.570007,239.490005,231.509995,233.779999,233.779999,775200
2021-12-29,232.639999,235.839996,228.100006,232.919998,232.919998,1155700
2021-12-30,233.779999,241.539993,233.169998,237.919998,237.919998,941500
2021-12-31,237.770004,241.250000,233.289993,234.029999,234.029999,870600
2022-01-03,235.250000,247.199997,235.250000,244.160004,244.160004,1933300
2022-01-04,245.100006,246.380005,227.414993,239.259995,239.259995,1874400
2022-01-05,237.759995,241.889999,225.419998,227.699997,227.699997,1345300
2022-01-06,224.949997,231.779999,219.610001,228.270004,228.270004,1171900
2022-01-07,228.149994,232.470001,221.339996,223.580002,223.580002,907200
2022-01-10,220.839996,224.979996,212.380005,224.410004,224.410004,1394000
2022-01-11,224.399994,236.330002,222.059998,234.970001,234.970001,1175400
2022-01-12,237.210007,240.080002,230.380005,231.309998,231.309998,1111600
2022-01-13,236.160004,238.800003,226.190002,226.449997,226.449997,985600
2022-01-14,223.910004,226.399002,213.740005,218.559998,218.559998,1665400
2022-01-18,213.570007,218.000000,209.679993,210.869995,210.869995,1380200
2022-01-19,212.979996,216.610001,207.029999,207.350006,207.350006,1659900
2022-01-20,210.889999,217.940002,207.660004,208.660004,208.660004,2517800
2022-01-21,202.369995,205.720001,194.720001,195.529999,195.529999,3150100
2022-01-24,187.410004,194.229996,177.070007,193.559998,193.559998,3003600
2022-01-25,187.750000,192.000000,180.759995,184.039993,184.039993,2074400
2022-01-26,189.330002,192.910004,173.580002,174.789993,174.789993,2654600
2022-01-27,172.889999,179.830002,169.429993,171.320007,171.320007,2512900
2022-01-28,172.229996,174.035004,164.410004,172.979996,172.979996,2515500
2022-01-31,180.350006,196.570007,179.529999,196.259995,196.259995,4882400
2022-02-01,199.130005,205.283005,193.630005,203.619995,203.619995,2868500
2022-02-02,205.350006,208.490005,188.360001,191.919998,191.919998,6687900
2022-02-03,164.000000,174.399994,155.570007,159.759995,159.759995,14049300
2022-02-04,163.110001,176.949997,161.100006,174.429993,174.429993,5779200
2022-02-07,169.990005,175.000000,167.300003,171.509995,171.509995,4407100
2022-02-08,170.000000,172.869995,163.660004,165.919998,165.919998,3828200
2022-02-09,167.679993,175.820007,163.210007,175.490005,175.490005,4911100
2022-02-10,169.669998,177.600006,167.009995,167.830002,167.830002,2235700
2022-02-11,168.009995,171.000000,160.220001,161.929993,161.929993,2158300
2022-02-14,160.690002,166.059998,159.529999,162.210007,162.210007,1608000
2022-02-15,165.449997,168.759995,162.500000,168.059998,168.059998,1384500
2022-02-16,164.800003,165.729996,161.309998,163.940002,163.940002,1577100
2022-02-17,162.589996,163.979996,157.699997,159.220001,159.220001,2017800
2022-02-18,158.850006,160.169998,150.740005,152.270004,152.270004,2331000
2022-02-22,150.199997,156.649994,148.100006,149.380005,149.380005,1849300
2022-02-23,151.029999,152.270004,144.089996,144.169998,144.169998,1450100
2022-02-24,136.889999,149.809998,135.554993,149.210007,149.210007,2352200
2022-02-25,150.470001,152.880005,145.899994,151.910004,151.910004,1674500
2022-02-28,151.639999,157.970001,149.929993,156.190002,156.190002,1883400
2022-03-01,159.339996,159.490005,150.240005,151.250000,151.250000,1404500
2022-03-02,152.889999,153.100006,145.860001,149.479996,149.479996,1462000
2022-03-03,150.809998,151.830002,138.619995,139.919998,139.919998,2393500
2022-03-04,140.899994,142.300003,134.089996,135.169998,135.169998,2383600
2022-03-07,135.279999,138.720001,130.050003,130.509995,130.509995,2320100
2022-03-08,129.990005,137.259995,125.839996,131.679993,131.679993,1858600
2022-03-09,135.339996,139.809998,134.929993,136.419998,136.419998,1521800
2022-03-10,134.229996,135.369995,129.759995,132.669998,132.669998,1978600
